101,1,1,2000000,372349932840045,AMEX
102,2,2,2000000,340575811762608,AMEX
103,3,3,1500000,378947885602322,AMEX
104,4,4,1000000,349793675038103,AMEX
105,5,5,1500000,376342678812445,AMEX
106,6,6,2100000,5172477918317687,MASTERCARD
107,7,7,1500000,341971231603606,AMEX
108,8,8,1000000,347125631815021,AMEX
109,9,9,1400000,376912316923632,AMEX
110,10,5555,1400000,347465049168484,AMEX
111,11,1,2000000,374462342113636,AMEX
112,12,2,2000000,378307788798554,AMEX
113,13,3,1500000,343284752833067,AMEX
114,14,4,1000000,376025202633478,AMEX
115,5555,1,2000000,376025202633478,VISA
